Q1_AgeBracket,Q2_HouseholdSize,Q3_DietStyle,Q4_ExerciseFreq,Q5_EcoPriority,Q6_OrdersPerWeek,Q7_OrderWindows,Q8_AvgSpendAED,Q9_TipPct,Q10_DeliveryRadiusKm,Q11_FavCuisines,Q12_SpiceLevel,Q13_AllergyFlag,Q14_PackagingSustainScore,Q15_TraceabilityInterest,Q16_MealConfiguratorUse,Q17_DynamicPricingOpinion,Q18_ZeroWasteSubscription,Q19_LoyaltyPerk,Q20_FreshnessAlertsValue,Q21_GroupCartUsage,Q22_NetPromoterScore,Q23_ChurnIntent
5,3,2,4,4,1,"Late-night,Lunch",40.99,8.2,7.1,"Japanese,Other",3,0,3,5,2,4,2,1,3,3,6,5
5,1,1,1,3,5,"Late-night,Lunch,Breakfast",46.34,15.5,6.5,"Indian,Mexican,Other",3,0,2,2,1,4,0,2,3,3,6,3
3,4,4,4,5,1,"Late-night,Dinner",82.71,5.6,4.4,"Thai,Mexican,Other,Japanese",2,1,4,4,4,3,2,1,4,1,6,4
4,4,1,1,1,2,Lunch,107.75,8.8,6.1,"Thai,Mexican",2,0,2,1,2,3,0,1,3,1,8,3
2,1,2,2,3,4,Dinner,31.71,6.4,10.9,"Mediterranean,Mexican",1,0,3,3,2,2,1,2,3,2,8,2
4,3,1,1,3,5,"Breakfast,Lunch",34.72,6.1,9.0,"Indian,Mediterranean,Mexican",1,0,3,3,2,2,0,2,4,3,5,3
2,1,1,2,2,5,Lunch,38.11,11.4,7.1,"Japanese,Indian,Thai,Mexican",4,0,3,3,3,3,0,1,5,3,9,3
4,2,6,3,2,4,"Lunch,Dinner",132.01,7.3,8.0,"Japanese,Mediterranean",2,0,1,3,3,4,1,3,5,5,5,4
1,1,4,3,4,3,"Late-night,Dinner",48.89,18.4,7.6,Thai,1,0,3,4,4,1,2,1,2,4,4,5
4,1,3,2,1,3,"Dinner,Lunch",55.07,10.1,3.0,"Mediterranean,Thai,Indian,Japanese",2,0,1,4,3,1,0,1,1,1,8,3
6,3,3,3,4,1,Dinner,37.92,19.6,6.7,Japanese,2,1,4,4,2,3,2,1,3,5,6,4
2,1,1,1,3,3,Breakfast,59.27,3.4,6.0,"Mediterranean,Thai,Other,Mexican",4,0,4,1,3,2,0,2,5,1,7,2
4,2,1,1,5,4,"Late-night,Breakfast",46.47,13.8,6.5,"Mediterranean,Mexican",1,1,5,2,4,4,0,1,4,5,5,3
2,4,3,3,5,3,"Dinner,Breakfast",54.96,10.7,5.1,"Other,Thai",2,0,5,4,2,4,2,1,5,3,6,4
5,2,5,2,3,10,"Breakfast,Dinner",63.39,14.3,6.0,Japanese,3,0,3,2,3,5,0,2,3,4,7,2
3,2,1,1,3,1,Lunch,69.77,5.2,7.4,"Mediterranean,Thai",1,0,4,4,3,3,0,3,5,2,6,4
3,1,5,4,4,6,"Late-night,Breakfast,Dinner",79.66,12.6,6.6,"Mediterranean,Other,Japanese,Thai",3,1,5,5,3,4,1,1,5,5,2,3
2,1,1,3,3,25,"Lunch,Breakfast,Late-night",398.82,100.0,15.4,"Other,Japanese",2,1,2,4,4,1,0,3,4,2,4,2
3,2,5,1,3,1,Breakfast,49.16,4.3,3.2,"Japanese,Mexican,Mediterranean",2,0,2,5,2,3,0,2,2,1,9,4
5,2,1,1,3,2,"Late-night,Breakfast,Dinner",78.24,10.0,7.5,Indian,4,1,2,1,5,3,2,1,2,4,7,5
4,3,6,3,2,2,"Breakfast,Dinner,Late-night",102.13,8.5,4.6,"Japanese,Mexican,Mediterranean,Thai",2,0,2,2,4,3,2,2,3,3,9,4
5,2,5,2,2,3,"Breakfast,Lunch,Late-night",30.71,5.1,4.9,Mexican,1,0,2,3,3,3,2,1,2,4,6,3
5,5,1,1,2,2,Lunch,49.2,10.2,8.0,Other,3,0,3,3,2,3,2,1,4,1,9,3
6,3,1,2,3,4,"Lunch,Late-night",32.6,9.0,4.4,"Thai,Mexican",1,1,2,2,4,2,0,3,3,1,5,3
4,3,2,2,5,2,"Late-night,Dinner",37.59,10.4,3.6,"Thai,Indian,Japanese,Mediterranean",3,0,4,2,5,4,2,2,4,3,10,5
3,1,2,2,4,1,"Late-night,Dinner,Breakfast",52.7,3.0,5.3,"Thai,Mexican",4,0,3,3,3,3,1,3,1,5,6,4
6,1,1,1,3,3,"Dinner,Late-night,Lunch",80.64,6.3,7.3,"Thai,Indian,Japanese,Mediterranean",3,0,2,4,4,3,1,2,5,2,5,4
5,1,1,2,2,1,Lunch,52.74,11.9,7.0,"Mediterranean,Japanese,Mexican",1,0,3,4,2,4,1,4,3,1,7,3
3,1,4,3,3,1,"Dinner,Breakfast,Late-night",114.43,8.0,6.2,"Mediterranean,Mexican",2,0,3,4,4,2,1,1,3,1,4,4
5,1,1,3,3,1,"Dinner,Lunch,Late-night",42.47,11.8,7.1,"Japanese,Indian,Mexican,Other",2,0,3,2,2,4,1,2,3,2,5,3
2,1,2,4,4,1,Late-night,36.42,7.2,3.5,Thai,3,1,4,2,2,2,0,2,3,2,3,3
5,3,6,3,2,1,Lunch,43.36,11.1,6.5,Mediterranean,2,0,1,3,3,3,1,2,4,1,7,5
3,1,1,1,2,1,"Late-night,Dinner,Breakfast",77.12,10.1,7.9,Japanese,2,1,2,3,5,3,0,2,4,2,8,3
5,3,2,4,4,1,"Late-night,Dinner",78.4,12.3,6.0,Other,2,0,5,2,2,4,2,2,3,5,6,5
3,3,4,1,3,3,"Lunch,Breakfast",81.22,11.8,6.2,"Japanese,Thai",2,0,4,4,4,3,1,3,2,5,10,4
4,2,3,1,4,1,Late-night,53.64,10.6,3.4,Other,2,0,4,3,3,3,1,3,4,5,6,3
5,2,5,4,4,3,"Dinner,Late-night,Lunch",43.76,13.5,5.4,"Mexican,Other,Japanese",1,0,5,4,4,3,1,2,3,2,7,5
3,1,1,1,3,9,"Breakfast,Lunch",106.34,9.4,5.3,"Mexican,Mediterranean,Thai,Indian",2,1,2,3,3,3,1,1,2,4,8,4
4,1,1,1,4,1,"Breakfast,Late-night,Lunch",45.73,7.0,3.8,"Thai,Other,Japanese",2,0,4,4,3,5,2,1,2,4,6,4
3,3,1,1,2,1,Dinner,60.72,8.3,4.4,"Mexican,Other",2,0,3,4,3,3,1,1,3,3,8,5
4,2,5,3,2,1,"Dinner,Late-night",36.79,10.1,6.3,"Indian,Japanese,Other",2,0,3,5,2,2,2,3,2,2,10,4
3,3,1,2,2,4,"Lunch,Dinner",70.06,10.2,8.2,"Mexican,Other",1,0,3,3,3,4,0,3,1,5,6,2
2,2,6,2,5,2,Late-night,55.96,12.8,6.7,Other,2,0,5,4,5,4,1,3,4,4,4,3
2,1,1,1,3,3,Dinner,56.02,15.3,6.1,"Japanese,Mediterranean,Indian,Other",2,0,3,4,4,4,0,2,4,4,8,3
5,1,1,1,3,1,"Breakfast,Dinner",117.42,9.0,1.9,"Mexican,Thai,Indian",2,0,3,4,4,4,1,4,2,1,6,4
6,4,6,3,3,5,Breakfast,57.3,16.2,5.3,Other,1,0,4,3,4,3,1,2,3,3,5,2
3,2,6,2,2,2,"Lunch,Late-night",78.64,7.4,8.0,Mexican,3,0,3,2,2,3,0,4,3,1,9,1
5,4,3,2,4,1,"Lunch,Breakfast",63.14,14.9,10.2,Other,2,0,5,2,4,2,1,3,2,1,3,3
2,2,6,3,2,2,"Dinner,Late-night",71.42,7.1,5.2,"Other,Japanese,Mexican",2,0,3,2,2,1,1,1,2,3,6,3
3,2,6,2,3,5,"Breakfast,Late-night",66.54,9.7,5.8,"Thai,Mexican,Mediterranean",2,0,3,4,4,4,0,1,3,3,10,3
3,3,1,1,4,5,"Dinner,Breakfast",66.51,13.6,6.2,"Mediterranean,Japanese,Mexican",2,0,3,5,3,1,0,1,3,2,9,3
3,2,6,3,4,1,"Dinner,Lunch,Late-night",52.24,13.5,5.9,"Indian,Mediterranean",2,0,3,4,2,3,2,2,4,2,3,5
5,2,6,4,5,4,"Late-night,Breakfast,Dinner",65.52,10.7,6.8,Mediterranean,2,0,4,3,5,3,2,4,4,4,10,5
5,4,2,3,2,1,"Dinner,Lunch,Breakfast",113.87,8.8,6.4,Mexican,2,1,1,3,4,2,0,2,3,2,2,3
3,1,4,2,3,5,Lunch,62.84,5.9,5.9,Other,4,1,2,5,3,3,2,3,4,2,5,3
5,4,1,2,5,1,Breakfast,41.59,10.9,4.8,"Thai,Mexican,Indian,Mediterranean",2,0,5,3,2,3,0,2,3,1,4,4
3,3,1,1,4,3,"Lunch,Late-night,Breakfast",64.3,3.4,5.5,"Mexican,Japanese,Indian,Other",3,1,5,4,3,3,2,4,4,2,9,5
4,3,6,2,3,2,"Late-night,Lunch,Dinner",64.9,14.0,3.8,"Mexican,Indian",1,0,3,3,3,2,0,4,2,4,4,5
4,2,3,3,5,3,"Breakfast,Dinner",96.61,9.1,5.7,Other,3,0,5,2,3,4,1,4,4,3,8,3
4,3,1,2,1,7,Dinner,48.97,10.5,4.0,Japanese,1,0,1,4,3,3,0,2,3,4,9,3
4,3,4,2,4,1,"Late-night,Lunch",89.43,6.5,4.3,Indian,2,0,3,2,2,3,1,2,3,1,3,5
4,1,1,3,2,5,Lunch,93.38,5.2,7.0,"Other,Mediterranean,Indian,Thai",2,0,3,4,4,4,1,3,3,3,8,5
3,4,1,2,4,2,Dinner,80.22,7.3,12.1,"Mexican,Other",1,0,5,4,1,2,0,1,3,5,4,3
3,2,1,2,4,2,"Late-night,Breakfast,Dinner",72.95,10.0,4.7,"Mexican,Other",2,0,3,3,4,2,2,1,3,3,7,5
5,3,4,3,4,1,"Breakfast,Lunch,Late-night",90.96,7.5,6.4,Mexican,3,1,3,4,3,2,2,1,4,1,10,4
4,4,5,3,4,5,Late-night,102.12,5.7,7.5,"Mediterranean,Thai,Japanese",2,0,5,4,3,3,2,2,3,4,6,4
6,1,3,1,5,4,Late-night,42.4,10.5,4.8,"Mediterranean,Mexican,Japanese,Indian",3,0,5,5,3,5,1,2,4,1,5,5
3,1,4,2,3,7,"Late-night,Breakfast",51.47,8.1,6.2,Mexican,1,0,2,4,3,1,2,2,4,1,7,4
2,1,5,3,4,1,Late-night,52.59,10.0,4.3,"Mediterranean,Other,Indian",1,0,5,3,3,3,1,2,4,1,5,4
6,2,6,1,3,2,Breakfast,60.45,10.8,6.9,"Other,Thai,Indian,Mexican",3,0,3,5,3,3,1,2,4,1,4,4
5,3,6,4,3,2,Breakfast,137.25,5.3,8.7,"Mediterranean,Japanese,Indian",3,0,2,4,4,3,2,1,2,1,7,5
5,2,1,1,3,2,"Dinner,Lunch,Breakfast",77.52,9.6,6.8,Japanese,2,1,4,3,3,2,0,1,5,4,7,5
4,1,1,1,3,3,"Late-night,Lunch,Dinner",56.81,7.4,4.4,Indian,2,0,3,3,4,4,0,1,4,3,4,2
4,3,5,4,4,1,Late-night,71.59,6.5,3.0,"Thai,Japanese",1,0,4,3,2,3,1,1,2,4,4,4
4,2,4,3,3,2,"Late-night,Lunch",69.7,13.9,4.9,"Other,Mexican,Thai,Indian",2,0,3,5,5,4,2,3,2,3,7,4
3,3,1,1,4,2,"Dinner,Late-night,Lunch",35.94,14.9,4.3,Japanese,1,0,3,4,2,2,2,2,4,3,5,5
2,1,1,1,3,4,Breakfast,48.54,8.5,4.4,Mexican,3,0,4,2,2,3,0,2,3,3,7,3
3,3,3,2,3,1,Lunch,77.42,7.5,7.2,"Other,Indian",2,0,3,4,5,4,0,4,4,3,7,2
6,3,1,1,4,3,"Breakfast,Late-night,Dinner",85.67,14.0,6.6,"Japanese,Indian",3,0,4,3,1,3,0,2,3,2,4,2
2,4,5,2,3,2,Late-night,59.69,13.1,4.4,"Japanese,Other,Indian,Mediterranean",2,0,2,4,3,1,0,1,4,2,7,3
4,2,5,3,2,5,Late-night,140.51,6.5,5.9,"Thai,Japanese",3,0,2,2,1,2,0,2,4,3,6,1
6,3,2,3,2,2,Lunch,75.34,9.0,1.6,"Other,Mexican,Mediterranean",3,0,3,3,4,3,1,1,3,4,4,5
4,3,6,4,2,5,"Lunch,Dinner",147.23,9.4,6.1,"Other,Indian,Mediterranean,Thai",2,0,3,2,4,5,1,1,2,1,4,4
5,1,1,1,3,9,Dinner,54.58,14.4,6.0,"Japanese,Other,Indian",3,1,4,5,4,3,1,1,2,2,6,4
3,3,1,2,4,3,Lunch,55.61,12.2,7.1,Thai,3,0,3,5,3,3,1,1,3,1,5,4
3,1,1,2,2,1,Dinner,108.65,10.6,6.9,"Mexican,Thai,Japanese",2,1,1,4,3,3,1,2,3,1,8,3
4,1,5,2,4,1,Late-night,41.6,13.3,6.2,"Other,Thai",1,1,5,2,3,4,1,1,4,2,6,3
5,2,3,1,4,6,Late-night,59.01,15.8,9.6,"Thai,Other,Japanese,Indian",2,0,3,5,4,5,2,2,3,1,3,5
4,3,1,1,3,1,"Late-night,Breakfast",53.54,11.1,4.7,"Mediterranean,Mexican,Japanese,Thai",3,1,4,4,4,4,0,2,3,4,5,5
6,1,4,3,3,2,"Dinner,Breakfast,Lunch",67.73,13.2,7.4,"Thai,Indian,Other",1,0,3,3,3,3,0,1,3,3,6,2
3,3,6,2,1,1,"Breakfast,Lunch,Late-night",45.38,10.8,6.3,"Mexican,Other,Thai",3,1,1,5,4,3,2,1,5,5,6,4
6,2,1,2,2,2,"Breakfast,Dinner",74.57,11.9,5.7,"Japanese,Thai,Indian",1,0,1,4,3,3,2,3,4,1,10,5
3,2,1,2,5,2,"Dinner,Lunch",48.75,4.7,4.5,"Mediterranean,Other,Mexican",2,0,4,3,4,3,2,1,4,3,6,4
4,1,1,1,3,3,Breakfast,84.58,8.0,3.3,"Japanese,Indian",2,1,4,3,3,3,1,2,1,1,9,5
3,2,6,1,3,4,"Dinner,Breakfast",88.03,9.6,5.4,"Thai,Mexican,Japanese,Mediterranean",2,0,2,3,4,3,1,3,3,2,6,3
4,4,2,2,4,2,"Late-night,Dinner",67.08,5.9,4.1,"Thai,Indian,Other",2,0,3,4,3,3,2,2,3,1,10,4
4,5,1,1,4,1,Late-night,25.99,5.8,6.0,"Indian,Mediterranean,Mexican,Other",3,0,3,2,3,5,1,1,3,3,5,3
3,2,2,1,2,2,"Lunch,Breakfast",61.88,5.3,5.2,Mediterranean,2,0,1,2,1,2,0,2,2,5,5,4
3,1,1,1,5,1,Lunch,110.9,20.7,5.0,"Japanese,Indian,Mediterranean",1,0,4,4,3,3,2,2,3,3,9,3
2,1,6,4,4,4,Late-night,43.08,7.0,7.4,"Other,Mexican,Japanese",2,0,5,3,3,5,1,1,3,4,4,5
3,4,5,2,3,3,"Breakfast,Lunch",66.6,10.7,9.4,"Mediterranean,Indian,Japanese,Mexican",2,0,2,3,3,2,0,2,2,2,9,2
6,2,3,1,3,3,Breakfast,68.24,18.8,8.9,"Other,Mediterranean",3,0,2,5,3,3,1,3,3,3,9,5
3,2,1,1,2,4,"Late-night,Dinner",78.59,11.6,4.6,"Mexican,Japanese,Other",2,0,1,3,3,2,1,3,3,3,6,4
3,3,4,2,4,2,"Late-night,Lunch",45.0,7.9,6.4,Mexican,3,0,3,3,1,3,1,2,5,5,5,1
5,2,3,4,4,1,"Lunch,Late-night,Dinner",84.74,19.5,6.1,Indian,2,0,4,4,4,3,2,1,3,1,10,4
2,4,4,3,4,3,"Late-night,Lunch,Breakfast",35.51,7.8,7.5,"Japanese,Indian,Thai",1,0,3,3,3,2,2,1,4,2,5,4
5,1,1,1,5,4,"Breakfast,Lunch",50.49,16.8,6.8,"Other,Thai",1,0,4,5,3,2,2,1,2,4,8,3
3,3,5,3,3,1,"Lunch,Dinner,Breakfast",42.37,14.6,6.2,"Thai,Indian,Mediterranean,Mexican",1,1,4,3,5,4,0,1,2,3,4,3
4,2,4,2,4,2,"Breakfast,Lunch",51.7,10.5,6.6,"Indian,Thai,Mediterranean,Japanese",2,1,5,5,3,5,2,2,2,1,7,5
5,3,1,3,2,2,"Lunch,Late-night,Breakfast",61.19,5.8,3.9,"Thai,Other,Japanese,Mexican",3,0,2,5,3,3,2,3,3,2,4,5
4,2,6,4,2,2,Lunch,101.6,8.5,3.5,"Indian,Thai,Mediterranean,Japanese",3,0,3,3,3,4,1,4,3,1,9,3
4,3,3,2,3,5,"Lunch,Late-night",43.59,7.4,6.0,"Thai,Other",2,0,2,1,3,3,1,2,4,1,6,4
4,5,3,2,2,1,"Breakfast,Dinner,Late-night",27.19,16.5,3.6,"Japanese,Mediterranean,Other,Thai",1,0,1,3,1,4,0,2,3,1,4,1
4,2,1,1,2,1,"Dinner,Late-night,Lunch",70.71,10.6,5.3,"Mediterranean,Japanese,Thai,Other",2,0,3,4,1,2,0,1,4,5,3,3
3,4,1,2,2,4,Lunch,107.39,4.9,4.2,Other,3,0,3,2,2,3,0,2,5,4,8,3
5,1,1,1,4,1,"Dinner,Breakfast",71.18,15.8,8.3,"Mexican,Indian",3,0,5,4,3,2,2,2,3,1,8,5
2,2,6,3,2,3,Breakfast,59.79,9.3,8.8,"Thai,Indian",3,0,2,4,5,2,0,4,4,3,6,4
4,3,6,2,5,2,Late-night,44.47,13.1,6.5,"Japanese,Other",3,0,5,4,4,3,2,1,5,4,8,4
3,1,1,1,2,3,"Dinner,Lunch,Breakfast",44.02,15.6,7.5,Japanese,2,0,2,3,4,2,0,1,4,3,6,1
5,1,1,1,3,3,Late-night,90.82,11.0,9.6,"Thai,Mediterranean",2,0,2,4,2,4,0,1,1,4,7,3
3,3,6,2,4,2,Breakfast,70.94,12.2,7.6,"Other,Thai,Japanese,Mexican",2,0,5,4,4,1,0,1,4,4,10,4
5,2,2,1,3,4,Late-night,75.77,15.8,2.6,"Japanese,Thai,Mediterranean,Indian",2,0,2,4,4,3,1,1,5,3,6,4
4,2,3,1,3,2,Lunch,47.09,16.4,1.0,"Thai,Japanese,Mediterranean,Mexican",1,0,3,5,3,2,0,1,2,3,3,2
4,1,2,4,3,1,Late-night,59.83,9.6,4.3,"Other,Mexican,Mediterranean,Indian",2,0,3,4,3,3,0,2,3,1,4,2
4,1,6,4,4,3,Dinner,77.57,11.0,6.6,"Mexican,Other,Thai,Mediterranean",2,1,4,3,3,2,2,4,2,2,6,5
3,1,2,4,4,2,"Dinner,Lunch,Late-night",83.63,12.7,6.8,"Thai,Mediterranean",2,1,3,3,4,2,2,3,4,4,8,5
2,2,2,1,4,1,Dinner,46.05,9.2,10.5,"Mexican,Indian",1,0,3,4,3,2,1,2,3,2,7,5
3,1,2,2,4,1,"Lunch,Late-night,Dinner",47.19,11.1,11.7,Mexican,2,0,3,4,2,4,0,3,4,5,9,3
3,3,2,1,3,2,"Late-night,Dinner,Breakfast",33.33,9.8,10.0,Japanese,1,0,2,3,4,2,1,3,4,5,6,4
5,3,1,1,5,3,"Lunch,Breakfast",65.28,1.6,9.8,"Japanese,Other,Mexican",1,0,5,5,2,4,2,3,3,3,3,3
6,1,1,3,1,1,"Lunch,Breakfast,Dinner",36.14,8.4,7.7,Thai,1,0,1,3,3,5,1,2,5,1,4,3
3,3,1,1,2,2,"Breakfast,Lunch",65.44,3.8,3.6,"Indian,Japanese,Mexican,Thai",2,0,2,3,3,2,0,2,3,3,9,3
4,1,4,1,3,2,"Dinner,Lunch",62.29,9.9,6.4,"Japanese,Mexican",2,0,3,3,2,4,0,2,4,4,2,3
3,2,1,1,2,2,Dinner,97.07,11.9,4.2,"Indian,Other,Mediterranean,Japanese",2,0,2,4,2,3,0,1,3,3,10,5
3,3,1,1,3,1,"Late-night,Breakfast",79.36,6.2,4.7,"Other,Mediterranean",4,0,3,3,2,3,0,3,2,2,0,3
4,3,5,3,4,3,"Lunch,Dinner,Breakfast",87.55,4.2,5.9,"Mexican,Other,Indian,Thai",3,0,4,4,2,3,1,2,4,1,3,2
6,2,1,1,2,2,"Dinner,Late-night",89.8,6.1,8.2,"Thai,Other",3,0,2,3,4,1,0,1,5,1,9,2
3,1,6,2,2,3,"Lunch,Breakfast,Dinner",95.47,10.9,6.3,"Thai,Indian,Mexican",2,0,1,3,4,3,1,1,2,1,6,4
4,1,1,2,3,5,"Lunch,Breakfast,Dinner",63.11,8.9,7.4,Indian,1,0,4,5,3,3,0,2,4,2,8,5
2,1,2,2,3,4,Lunch,44.45,9.8,7.6,"Thai,Indian",2,0,3,3,4,3,0,3,3,1,9,4
2,2,5,3,3,1,"Breakfast,Late-night",38.03,11.7,5.6,"Thai,Japanese,Indian,Mexican",4,0,3,3,2,4,0,3,5,4,4,3
3,1,1,1,4,2,"Lunch,Dinner,Breakfast",83.67,10.0,5.1,"Japanese,Thai,Indian,Mexican",2,0,3,3,2,3,2,4,4,1,7,5
3,2,1,1,3,2,"Late-night,Lunch,Dinner",54.66,10.8,5.0,"Other,Japanese",2,0,2,2,3,2,1,3,3,4,8,3
5,3,1,1,1,8,"Dinner,Breakfast,Lunch",54.2,5.1,6.7,"Other,Mediterranean,Japanese,Mexican",3,1,1,4,3,5,1,3,2,2,8,5
3,1,5,1,2,1,"Lunch,Late-night",38.74,8.8,3.0,Mediterranean,2,0,1,4,2,4,1,1,3,1,5,5
2,1,5,2,3,2,Lunch,32.99,11.2,10.9,Other,2,1,3,3,4,3,2,4,4,3,10,5
3,4,1,2,2,1,"Dinner,Breakfast",109.78,1.5,6.5,Japanese,2,0,2,3,5,5,0,4,4,1,6,4
4,1,1,2,3,3,"Lunch,Dinner",35.38,15.5,7.0,Indian,1,0,2,4,2,3,0,2,3,5,6,3
4,2,3,1,3,3,"Late-night,Breakfast",62.43,13.4,6.0,"Mexican,Japanese",1,0,4,5,2,2,0,1,4,5,6,2
4,1,1,1,2,2,"Breakfast,Dinner,Late-night",103.0,8.0,7.5,"Other,Mediterranean",2,0,3,2,3,2,0,2,5,3,8,5
4,3,1,1,4,2,"Breakfast,Lunch",63.09,14.4,10.6,"Indian,Thai,Other",1,0,5,3,3,3,0,2,2,2,6,4
5,2,4,2,4,3,Dinner,107.08,12.9,7.8,"Thai,Mexican",2,0,3,3,3,4,2,2,4,4,6,5
